comp	usubs	uniprot	avgcoex	def	species
1085	5	P18887	0.103	NA	human
1085	5	O00764	0.088575	NA	human
1086	5	P49916	NA	NED	human
1086	5	P06746	NA	ED	human
1086	5	P18887	0.100175	NA	human
1086	5	Q96FI4	0.11615	NA	human
1086	5	O00764	0.171975	NA	human
1087	4	O15392	NA	NA	human
1087	4	O60447	0.0412333333333	NA	human
1087	4	Q9NQS7	NA	NA	human
1087	4	Q96GD4	0.400733333333	ED	human
1088	2	Q13791	NA	NA	human
1088	2	P04156	NA	NA	human
1089	2	Q9NZW5	NA	NA	human
1089	2	O14910	-0.0074	NA	human
1090	2	O43747	NA	ED	human
1090	2	Q15276	0.1813	NA	human
1091	4	P48357	NA	NA	human
1091	4	O95219	0.301066666667	UN	human
1091	4	O60749	NA	ED	human
1091	4	Q13596	NA	ED	human
1092	3	P12004	NA	ED	human
1092	3	P13010	0.49935	UN	human
1092	3	P12956	NA	UN	human
1093	4	P06213	NA	NA	human
1093	4	O95219	0.2961	UN	human
1093	4	O60749	NA	ED	human
1093	4	Q13596	NA	ED	human
1095	4	O60749	NA	ED	human
1095	4	P00533	NA	UN	human
1095	4	O95219	0.248866666667	UN	human
1095	4	Q13596	NA	ED	human
1096	4	P16234	NA	NA	human
1096	4	O60749	NA	ED	human
1096	4	O95219	0.2612	UN	human
1096	4	Q13596	NA	ED	human
1097	13	P55884	0.3306	NA	human
1097	13	Q9Y262	NA	UN	human
1097	13	O75822	0.279	ED	human
1097	13	Q9UBQ5	NA	UN	human
1097	13	O75821	0.359641666667	ED	human
1097	13	O00303	0.41955	NED	human
1097	13	O15371	0.423525	NA	human
1097	13	Q7L2H7	NA	UN	human
1097	13	Q14152	0.312341666667	UN	human
1097	13	Q99613	0.0749166666667	NED	human
1097	13	Q13347	0.329891666667	NED	human
1097	13	O15372	0.390475	UN	human
1097	13	P60228	NA	UN	human
11	2	Q92902	NA	NA	human
11	2	Q9NQG7	0.0602	NA	human
1100	4	Q14181	NA	ED	human
1100	4	P49643	NA	UN	human
1100	4	P09884	NA	NA	human
1100	4	P49642	NA	NA	human
1104	4	O60749	NA	ED	human
1104	4	O95219	0.3546	UN	human
1104	4	Q13596	NA	ED	human
1104	4	P02786	0.196	UN	human
1105	5	Q12789	NA	UN	human
1105	5	Q9Y5Q9	0.199	UN	human
1105	5	Q9UKN8	0.25135	UN	human
1105	5	Q9Y5Q8	0.225575	NA	human
1105	5	Q8WUA4	NA	UN	human
1106	7	P11387	0.140666666667	UN	human
1106	7	Q9Y5Q8	0.161716666667	NA	human
1106	7	P53999	NA	NA	human
1106	7	Q12789	NA	UN	human
1106	7	Q9Y5Q9	0.218316666667	UN	human
1106	7	Q9UKN8	0.236716666667	UN	human
1106	7	Q8WUA4	NA	UN	human
1111	17	P49005	NA	NA	human
1111	17	Q14181	NA	ED	human
1111	17	P35251	NA	NA	human
1111	17	P11388	0.37280625	UN	human
1111	17	P49642	NA	NA	human
1111	17	Q9HCU8	NA	NA	human
1111	17	P27694	NA	ED	human
1111	17	Q9NRF9	NA	ED	human
1111	17	Q15054	NA	ED	human
1111	17	P11387	0.110725	UN	human
1111	17	P12004	NA	ED	human
1111	17	P09884	NA	NA	human
1111	17	Q07864	NA	NA	human
1111	17	P28340	NA	NA	human
1111	17	P49643	NA	UN	human
1111	17	P56282	NA	NA	human
1111	17	Q9NR33	NA	NA	human
1113	6	Q92664	NA	NA	human
1113	6	Q9Y5Q8	0.21646	NA	human
1113	6	Q12789	NA	UN	human
1113	6	Q9Y5Q9	0.21506	UN	human
1113	6	Q9UKN8	0.22338	UN	human
