prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
Q9CQI6	757.0	55.3	12.9	485.0	1572.0	248.0	72.2	793.0	167.0	9	ED
Q91VJ5	NA	NA	NA	NA	NA	NA	NA	NA	22.7	1	ED
O88712-2	41.5	22.1	24.1	31.2	0.723	50.0	10.8	40.6	12.2	9	ED
Q8R5H1	23.6	32.2	29.1	3.32	7.1	31.0	12.0	148.0	29.3	9	ED
Q9CR26	13.1	11.2	2.59	0.956	0.659	20.4	12.5	49.1	85.5	9	ED
Q99K70	10.7	31.9	0.438	2.34	0.63	14.9	0.835	26.2	4.93	9	ED
Q6PIP5	0.702	1.74	0.035	NA	0.303	7.38	5.06	12.0	56.0	8	ED
P61961	34.0	30.5	15.7	44.2	5.94	38.0	2030.0	54.7	173.0	9	ED
P46664	211.0	73.0	17.9	79.7	4.16	129.0	127.0	110.0	286.0	9	ED
Q9Z2Q6	1237.0	3.0	0.827	NA	0.101	6.53	2.25	3.14	14.3	8	ED
Q9DBL7	10.7	287.0	7.96	575.0	33.6	23.1	139.0	37.8	13.3	9	ED
P15626	30.6	301.0	464.0	463.0	1382.0	1031.0	741.0	92.4	169.0	9	ED
Q923D5	59.3	3.3	0.923	79.2	68.5	62.1	12.8	9.09	30.8	9	ED
Q9D1M4	8.98	34.7	10.1	20.4	5.81	32.2	91.1	72.6	37.2	9	ED
Q9JME5	220.0	1.08	0.99	0.657	0.045	2.93	7.08	3.15	1.67	9	ED
Q8BP47	99.8	163.0	20.1	105.0	37.6	149.0	2054.0	170.0	154.0	9	ED
Q6ZPJ3	136.0	27.5	22.8	5.32	0.457	77.9	124.0	261.0	37.9	9	ED
Q99JW4	1.04	22.2	7.76	16.3	0.122	295.0	6.73	93.5	15.5	9	ED
E9Q912	304.0	23.1	0.703	0.824	0.9	37.0	11.2	40.0	19.0	9	ED
Q6NZD2	39.5	43.2	15.1	70.6	2.16	102.0	66.2	132.0	41.5	9	ED
D5MCW4	27.8	32.6	4.91	26.5	1.74	9.33	13.2	4.44	17.3	9	ED
Q6PGH2	0.138	NA	0.161	0.298	0.692	2.33	20.9	11.4	276.0	8	ED
Q4VAA2	126.0	6.43	8.08	1.7	5.51	19.3	39.6	28.3	32.3	9	ED
P13439	24.2	10.3	0.691	9.74	56.9	10.6	177.0	84.2	98.9	9	ED
Q8BH43	1.69	10.9	1.73	2.73	0.362	84.1	7.01	44.7	19.9	9	ED
B9EHJ3	23.6	28.9	4.3	20.6	3.31	717.0	6.88	11.0	25.7	9	ED
Q8K2Y9-2	0.399	2.34	0.022	NA	0.063	1.4	0.014	13.6	1.02	8	ED
G3X928	12.5	23.3	19.5	32.3	7.42	63.6	163.0	80.6	28.3	9	ED
Q8K354	49.9	6.19	1.86	1.72	0.203	53.0	3.9	6.09	118.0	9	ED
Q9JII5-2	3.42	11.0	1.93	42.1	17.8	50.7	6.13	98.3	45.1	9	ED
Q9CQ43	0.894	2.01	4.54	10.3	0.279	3.94	NA	71.8	28.6	8	ED
P70444	1.49	NA	NA	93.8	0.604	13.3	NA	45.1	123.0	6	ED
P43274	139.0	5.08	433.0	1712.0	29.8	797.0	144.0	8.06	573.0	9	ED
Q61166	2039.0	62.6	47.3	79.9	27.6	256.0	137.0	252.0	206.0	9	ED
Q9WU78	46.5	502.0	2568.0	150.0	703.0	534.0	125.0	343.0	71.5	9	ED
Q921Q7	2.62	NA	NA	NA	NA	NA	NA	NA	0.326	2	ED
P28656	123.0	18.5	20.3	84.2	2.13	145.0	220.0	155.0	313.0	9	ED
Q8CI70	1.53	NA	1.27	NA	0.013	11.1	1.27	47.9	0.643	7	ED
Q99LS3	11.2	8.9	0.538	5.11	1.07	2.34	16.7	7.15	24.5	9	ED
Q91Z38	3.57	2.15	1.52	0.281	0.477	1.93	11.5	13.1	108.0	9	ED
Q61602	0.017	NA	NA	NA	NA	NA	NA	NA	0.204	2	ED
Q923T9-3	60.4	0.823	1.24	0.795	0.036	3.62	NA	0.892	67.3	8	ED
P70202	8.87	6.7	4.12	0.898	0.056	52.9	610.0	19.6	6.41	9	ED
Q9D358	351.0	41.6	16.6	58.3	43.2	64.2	83.3	79.3	158.0	9	ED
E9Q7M2	0.408	NA	0.09	NA	NA	0.164	NA	NA	0.938	4	ED
Q9JM14	259.0	6.62	19.0	47.3	16.3	153.0	2.88	45.0	91.3	9	ED
Q9EST3	0.086	NA	NA	NA	NA	1.08	NA	0.169	6.49	4	ED
P70460	2.21	17.0	13.1	56.6	0.411	138.0	28.9	262.0	87.8	9	ED
Q3UZ39	0.3	3.66	1.9	NA	3.34	100.0	43.5	53.0	37.6	8	ED
Q8C1A5	319.0	98.7	8.64	45.5	3.18	104.0	870.0	128.0	88.6	9	ED
P10711	13.1	6.51	5.9	3.11	1.48	61.5	34.0	177.0	25.3	9	ED
P97868	19.8	0.17	NA	19.8	8.05	26.0	NA	0.989	11.7	7	ED
Q9CZ30	708.0	159.0	687.0	52.8	144.0	243.0	413.0	293.0	83.0	9	ED
Q62433	159.0	66.5	5.87	2873.0	62.1	159.0	596.0	62.5	71.2	9	ED
Q8BJU0-2	342.0	140.0	24.7	19.6	2.94	53.4	38.1	40.4	103.0	9	ED
Q3UDE2	88.9	18.6	1.22	30.4	2.75	59.1	32.0	128.0	42.3	9	ED
Q9CQF3	57.5	10.7	4.49	84.8	132.0	64.7	21.6	32.6	18.7	9	ED
Q923D4	145.0	8.36	104.0	218.0	210.0	101.0	7.69	15.5	118.0	9	ED
Q8BGB7	60.4	6.17	1.22	4.65	0.557	18.1	2.21	20.1	6.19	9	ED
Q3U0V1	137.0	143.0	7.26	11.0	13.4	153.0	233.0	377.0	71.7	9	ED
Q9JHU9	23.5	35.2	4.88	98.3	97.5	121.0	156.0	78.5	69.2	9	ED
Q99K30	41.4	0.193	0.976	56.3	2.48	159.0	1.49	NA	16.7	8	ED
F6RJ39	352.0	19.0	195.0	965.0	396.0	408.0	4.27	35.5	54.8	9	ED
P41241	0.882	1.12	0.043	0.958	0.306	10.2	0.346	138.0	3.28	9	ED
Q5I1X5	0.02	NA	NA	NA	NA	NA	NA	NA	0.48	2	ED
Q99KH8	3.04	15.7	1.58	1.76	0.417	76.7	70.5	93.1	6.13	9	ED
D3Z0V2	8.12	13.6	1.42	0.211	1.16	39.0	2.67	18.8	10.1	9	ED
Q8VCN9	8.16	NA	NA	0.149	NA	7.65	44.0	6.85	39.8	6	ED
Q923F1	2.29	0.615	0.178	1.12	0.156	0.47	0.706	9.97	11.9	9	ED
P13020-2	47.6	230.0	565.0	308.0	937.0	1525.0	29.7	262.0	950.0	9	ED
Q8R050-2	80.6	51.4	309.0	59.9	71.4	109.0	188.0	160.0	161.0	9	ED
Q6ZPZ3-2	0.101	7.15	0.011	NA	0.025	0.149	0.869	14.7	27.0	8	ED
Q63850	64.0	5.9	18.1	109.0	20.3	18.7	20.0	26.9	84.4	9	ED
B2RUR8	0.646	1.29	0.331	NA	0.048	7.12	162.0	22.0	1.18	8	ED
Q9CWM4	695.0	14.5	13.1	31.9	9.32	36.3	37.1	12.8	181.0	9	ED
P42208	71.6	176.0	71.9	63.0	18.5	508.0	175.0	256.0	156.0	9	ED
Q78JW9	342.0	2.31	1.44	0.591	0.786	5.25	47.2	16.3	58.6	9	ED
Q8C5L3-3	0.18	0.205	NA	NA	0.053	0.92	1.76	2.61	6.26	7	ED
Q8CIE4	NA	0.467	0.676	NA	0.148	1.11	0.62	1.05	0.284	7	ED
Q9CQM9	842.0	237.0	387.0	105.0	19.1	84.8	618.0	173.0	511.0	9	ED
P70349	1469.0	389.0	882.0	1995.0	804.0	815.0	1025.0	246.0	725.0	9	ED
Q3UMY5-4	2.57	0.989	0.756	0.792	1.89	16.3	1.29	41.2	33.2	9	ED
Q80U72	0.442	1.64	1.61	2.01	0.175	5.49	29.1	7.95	12.5	9	ED
Q9CRC8	1.14	0.62	0.143	3.51	0.288	1.43	8.33	16.0	27.2	9	ED
P54728	65.8	15.7	34.7	118.0	118.0	132.0	267.0	116.0	61.1	9	ED
Q91V89	23.9	5.72	24.4	1.27	0.136	40.6	0.844	16.8	6.68	9	ED
Q9Z1B5	NA	19.0	0.039	NA	0.259	0.949	0.678	80.5	94.2	7	ED
Q8K3A9	0.354	NA	NA	NA	NA	NA	NA	12.1	24.0	3	ED
Q80VJ3	NA	NA	NA	13.8	0.701	0.264	1.53	2.08	4.21	6	ED
Q9EQC5	4.21	20.9	0.424	5.13	0.868	17.3	56.0	25.6	11.1	9	ED
Q9JK92	3.67	2.22	25.0	NA	1.92	0.952	8.34	NA	66.5	7	ED
P29595	59.8	7.55	19.0	11.3	291.0	62.4	19.8	33.1	306.0	9	ED
Q8BK64	130.0	83.4	89.2	138.0	31.9	128.0	73.4	169.0	235.0	9	ED
Q91XD6	8.85	8.94	1.29	6.51	0.531	44.2	63.5	6.35	24.5	9	ED
Q71FD7	NA	NA	35.0	NA	NA	87.9	NA	2.73	101.0	4	ED
Q8C166	5.23	28.7	1.48	8.4	1.88	46.2	2.19	61.5	29.2	9	ED
Q8BLY2	8.11	7.3	3.8	0.762	0.367	0.939	44.8	11.4	0.508	9	ED
O08807	42.0	15.8	19.6	40.2	706.0	227.0	308.0	24.2	144.0	9	ED
Q8BGS2	47.1	3.39	20.5	24.8	2.48	15.6	20.5	13.0	285.0	9	ED
Q9ERB0	7.58	5.82	5.99	15.3	0.488	14.3	43.2	55.3	29.6	9	ED
P47809	66.4	3.95	17.5	0.746	1.03	25.2	13.0	19.4	22.9	9	ED
Q8BT60	5.56	30.5	2.99	2.25	8.99	35.0	4.15	44.1	7.53	9	ED
Q9EST4-3	1.8	0.659	3.18	NA	0.752	0.605	2.72	18.7	0.89	8	ED
Q8VI75	6.97	4.68	2.59	7.92	2.03	7.29	68.0	25.6	32.0	9	ED
P97825	106.0	NA	22.3	NA	NA	40.3	3.43	25.9	597.0	6	ED
Q8K2Q7	7.54	10.8	2.59	2.01	0.497	12.3	8.53	37.2	34.6	9	ED
Q8C078-2	20.6	1.31	NA	NA	0.008	NA	NA	0.591	1.54	5	ED
P47955	83.3	75.5	97.9	99.5	153.0	124.0	853.0	163.0	737.0	9	ED
Q9ESP1	19.1	2.26	1.26	43.2	362.0	220.0	1333.0	74.9	148.0	9	ED
Q8CIG8	11.6	8.71	1.02	16.2	0.554	13.3	13.5	50.5	94.3	9	ED
Q8VD75	3.81	6.6	10.5	3.51	0.358	177.0	2.44	7.85	14.6	9	ED
Q63844	136.0	13.7	4.14	15.1	1.73	151.0	20.0	49.2	29.5	9	ED
Q99LB4	0.216	34.0	13.1	2.79	0.988	141.0	15.6	5752.0	161.0	9	ED
P70441	149.0	15.8	7.77	889.0	15.9	107.0	60.6	163.0	26.2	9	ED
Q61249	0.864	33.6	5.66	4.94	0.898	9.23	18.5	20.4	60.0	9	ED
Q61205	632.0	2.49	1.7	74.9	0.122	69.6	0.999	132.0	100.0	9	ED
P63330	1142.0	33.9	60.2	19.0	58.8	242.0	7.68	34.9	34.4	9	ED
E9Q5C9	0.041	0.124	0.167	0.075	0.223	NA	3.54	6.36	10.4	8	ED
Q9EQJ9-2	0.285	NA	0.031	NA	0.046	7.6	0.121	0.104	0.466	7	ED
Q91ZJ5	63.9	801.0	995.0	146.0	2699.0	115.0	42.1	90.9	91.5	9	ED
D3Z2E3	1.23	1.52	0.227	NA	0.122	12.6	14.2	4.76	19.4	8	ED
Q8CI08	NA	0.562	0.105	0.213	NA	NA	0.155	0.756	1.48	6	ED
O89079	159.0	43.4	13.7	51.3	245.0	296.0	596.0	85.6	206.0	9	ED
Q80UJ7	46.3	8.0	5.76	2.73	1.51	34.6	43.6	14.7	4.23	9	ED
Q3TN34	0.022	NA	0.02	NA	NA	NA	NA	0.041	0.278	4	ED
Q61210-2	0.382	5.39	6.66	0.124	0.495	204.0	2.82	138.0	34.2	9	ED
Q3U7U3	0.417	NA	NA	0.884	NA	0.193	NA	1.36	0.693	5	ED
Q9D0B6	91.7	31.6	1.4	15.3	2.95	12.8	38.0	53.9	122.0	9	ED
P84228	6.75	NA	0.144	0.126	606.0	0.053	NA	1.06	1535.0	7	ED
Q9CR39	6.59	0.439	NA	NA	0.066	0.156	NA	1.11	24.3	6	ED
Q91YZ2	0.098	2.5	0.471	1.41	0.043	12.5	1.56	3.9	70.3	9	ED
Q810A3	3.81	2.48	NA	1.04	1.92	4.15	NA	25.2	4.04	7	ED
Q3UHJ0-2	164.0	19.5	9.46	4.0	0.256	35.0	39.4	32.6	16.5	9	ED
Q9D281	0.038	0.512	0.459	NA	2.66	20.8	28.3	4.69	1.17	8	ED
Q9CY64	24.4	96.6	40.2	239.0	6.21	181.0	35.0	164.0	27.9	9	ED
G3UW40	NA	1.42	0.116	0.032	0.008	19.3	NA	1.37	0.076	7	ED
Q8BKH7-2	NA	NA	NA	NA	NA	NA	NA	NA	0.833	1	ED
Q8BVU5	51.2	4.02	2.47	NA	0.414	9.93	2.73	9.35	21.2	8	ED
Q99JX3-2	5.87	14.3	4.2	7.77	13.8	57.4	68.4	24.4	91.5	9	ED
D3YUS5	1.25	0.481	0.06	NA	NA	1.47	0.383	NA	1.02	6	ED
Q61033	152.0	11.2	106.0	1134.0	134.0	394.0	5.82	112.0	60.8	9	ED
Q69ZS7	0.066	9.93	0.17	NA	0.557	2.78	16.7	1.92	23.6	8	ED
Q9QXL2-3	100.0	4.04	1.16	1.44	1.6	4.18	310.0	0.315	3.65	9	ED
Q8VHH5	6.13	NA	0.022	0.108	NA	0.149	0.106	NA	0.97	6	ED
Q3TX08	7.16	NA	NA	NA	NA	NA	0.195	3.45	36.3	4	ED
P63005	187.0	74.0	149.0	180.0	2.99	538.0	49.6	195.0	38.3	9	ED
